"ASV","Phylum","Class","Order","Family","Genus","Species","s.C_wild","s.H_wild","s.O_wild","p.value","stat"
"e610263a6df1d25337ce72a5eeb443f1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__uncultured","g__uncultured","s__uncultured_bacterium",NA,NA,1,0.035,0.822
"40420155a410c1d17a505731cd700146","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,NA,NA,1,0.035,0.88
"a1d55749870714268a86eae4ee9eb350","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__uncultured_bacterium",NA,NA,1,0.005,0.896
"6662d8fbd0b4c8d648141aa091f61484","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales",NA,NA,NA,1,0.04,0.818
"330fe805d5d7aa85621375d06899713d","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Anaerorhabdus]_furcosa_group","s__uncultured_bacterium",NA,NA,1,0.005,0.825
"73fdd05c2c1fb8ca862d81781de378c2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__unidentified",NA,NA,1,0.005,0.846
"7e69e5a8876edc644cd685baced6fba4","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified_rumen",NA,NA,1,0.005,0.854
"1e93a8551fb60233923fc90c744b7987","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium",NA,NA,1,0.005,0.873
"d9e7ad60f0adedb68d4def5cd9180f2b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__uncultured_bacterium",NA,NA,1,0.005,0.889
"2cd4371e2394bdef76c4f68dd3dbe956","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__uncultured_bacterium",NA,NA,1,0.005,0.892
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",NA,NA,1,0.005,0.895
"61b5b6100af0d52d1364cc242035667b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_bacterium",NA,NA,1,0.005,0.898
"d25d0560f9ab810bdee4d19caa8bd20e","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__uncultured_bacterium",NA,NA,1,0.005,0.901
"7efccdf082ad9d4f7a9fc05f6b302699","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium",NA,NA,1,0.005,0.901
"97517503ee35e5cff923c7643bb6ef31","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_hallii_group","s__uncultured_bacterium",NA,NA,1,0.005,0.901
"b8fe85d1f305fdeaf73109c01639fb16","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_rumen",NA,NA,1,0.005,0.912
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,NA,NA,1,0.005,0.912
"7516811148ec1bfbbea722ced95e6dce","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_organism",NA,NA,1,0.005,0.913
"2e1c06fa4faf7aa618c7fd9ae13adb97","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__uncultured_bacterium",NA,NA,1,0.005,0.917
"c62ba98055d898bb33587251b274f34d","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,NA,NA,1,0.005,0.926
"adf4db8f2b60d52a48596ae425b6b0f9","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_bacterium",NA,NA,1,0.005,0.927
"5571293a6bca99f01527251e76c33fd8","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__uncultured_bacterium",NA,NA,1,0.005,0.927
"c31e50885551a70bf7db7693b074f862","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__uncultured_bacterium",NA,NA,1,0.005,0.928
"958a518080466103d9a4804ac8c68284","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_bacterium",NA,NA,1,0.005,0.93
"653158a66cf6d2eebb361cf6aebe68b5","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-007","s__uncultured_bacterium",NA,NA,1,0.005,0.932
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,NA,NA,1,0.005,0.937
"a7ab0c24e85cdd83de31d3611918a9f3","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA,NA,NA,1,0.005,0.944
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,NA,NA,1,0.005,0.944
"9e32db097b7859de9fd0b2d63806d3ee","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010",NA,NA,NA,1,0.005,0.945
"3304d49b666075d9dd1b679ce0799f64","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__UCG-010","s__uncultured_bacterium",NA,NA,1,0.005,0.946
"2ebc2629ef3584552db60f5aa6b5e817","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39",NA,NA,NA,1,0.005,0.951
"b046b8b1a92e2e75bb2400bf3d72025f","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_rumen",NA,NA,1,0.005,0.96
"869cf3585652868e3833c8e0ee697af6","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA,NA,NA,1,0.005,0.961
"383b8027ff8ed6a08e57f9385bdccf48","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group",NA,NA,NA,1,0.01,0.806
"e32dd3905737560ad5418a6cad090733","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia",NA,NA,NA,1,0.01,0.812
"fe3f0001800a7f7f1da01ccc663283ce","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__gut_metagenome",NA,NA,1,0.01,0.838
"0a6c23ab708cf443ec0932c28b4ab6f3","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__metagenome",NA,NA,1,0.01,0.844
"72e849669dff98c2c4aba2e8c4fc7483","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_rumen",NA,NA,1,0.01,0.847
"2045e346ec865bfa2d6b68702908c662","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_bacterium",NA,NA,1,0.01,0.916
"a94e8b4e5c40336c4e7911e38e9f1867","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group",NA,NA,NA,1,0.01,0.987
"4fd2d49ca7a957ba4f81b7a9cf5f6944","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__uncultured_bacterium",NA,NA,1,0.015,0.805
"09ffa52fcb4f0905d183e6e7a7be3c04","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__uncultured_bacterium",NA,NA,1,0.015,0.825
"8b8e817be7bfb916811aebafd62da972","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-004",NA,NA,NA,1,0.015,0.825
"c2361a7f0f4da75cc3fbc2bf9adb0cd9","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__gut_metagenome",NA,NA,1,0.015,0.828
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",NA,NA,1,0.015,0.859
"172253762c87148dba70c41ed4908d31","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium",NA,NA,1,0.015,0.873
"425a59286be22347aef98bb4dce59feb","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,NA,NA,1,0.015,0.885
"e36847ad65639f36d1986d729949f4b3","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014","s__uncultured_bacterium",NA,NA,1,0.015,0.894
"eca16f5d7a614cac3895480a0ef3a92a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,NA,NA,1,0.015,0.896
"996f7ae75876378c15821d42e38f308f","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__unidentified_rumen",NA,NA,1,0.015,0.913
"cc7c39c42f87d5891b79ffca700ae197","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA,NA,NA,1,0.02,0.805
"97996b09e9b961df2379221edb710e68","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_AC2044_group","s__uncultured_bacterium",NA,NA,1,0.02,0.809
"cca4f56fe659395d7848e8f9b1019dac","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium",NA,NA,NA,1,0.02,0.872
"352474d3cc8257636e084b9d08b4e5d0","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitaleaceae_UCG-011","s__uncultured_bacterium",NA,NA,1,0.025,0.807
"055aec5edbd03daea137c9fe44ec23af","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA,NA,NA,1,0.025,0.837
"3a4469166bc6c188fba56da439ccd078","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_rumen",NA,NA,1,0.025,0.842
"7c7018c2f083cc594b984539aca2f43a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,NA,NA,1,0.025,0.876
"76d5bbf6da7afa38016597a45b5c0d4a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_bacterium",NA,NA,1,0.03,0.869
"97f08a76f761a4d9d8f76f404070d007","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_organism",NA,NA,1,0.035,0.813
"e615ea722dda4acfc3da4648ed487eae","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002",NA,NA,NA,1,0.035,0.865
"b180429d0c085fc95bfb347f31e36910","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae",NA,NA,NA,NA,1,0.035,0.932
"65aaf8a00f1b087f517be646319d880e","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__uncultured_bacterium",NA,NA,1,0.045,0.812
"3c98f7c7872775fdd1e47b008423e7c8","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_rumen",NA,NA,1,0.045,0.843
"76960ca0349321f053252c9c393a7f5c","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005",NA,NA,NA,1,0.045,0.93
"2305f96d628814aa859b5de6100dd7ef","p__Proteobacteria","c__Gammaproteobacteria","o__Aeromonadales","f__Succinivibrionaceae","g__Succinivibrio","s__uncultured_bacterium",NA,NA,1,0.01,0.931
"550b9f5b00579a9f5cf311593d175d08","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured","s__uncultured_bacterium",NA,NA,1,0.025,0.806
"e2e2d55da348c6323ec1255c2979ab9d","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured",NA,NA,NA,1,0.03,0.814
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,NA,NA,1,0.04,0.845
"9ec33abccbefe667f5f755bf714c8953","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_bacterium",NA,NA,1,0.005,0.903
"da3f8195ee36ba61fe9fd3fc28e08aba","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_rumen",NA,NA,1,0.015,0.845
"a6cd3704b9d621add77f9305332721eb","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__Treponema_succinifaciens",NA,NA,1,0.015,0.853
"02ecd7df46d9bd8a6f9c59f300c72e61","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema",NA,NA,NA,1,0.025,0.833
"ab45f7442516a0fe212315108cc928c9","p__Verrucomicrobiota","c__Kiritimatiellae","o__WCHB1-41","f__WCHB1-41","g__WCHB1-41","s__uncultured_rumen",NA,NA,1,0.005,0.853
